First Name,Last Name,MIT Affil,Title,Job Title,Role,Keynote,headshot,Wait,LinkedIn,Bio
Yuly ,Fuentes,Y,Mr.,"PhD, Project Manager for Fiber Technologies, MIT",Speaker,N,Yuly_Fuente.jpg,Y,https://www.linkedin.com/in/yfuentesmedel/,
Valerian ,Giesz,N,Dr. ,"Co-Founder & CEO, Quandela",Speaker,N,Valerian_Giesz.jpg,N,https://www.linkedin.com/in/valerian-giesz-119517105/,"Valérian Giesz (CEO & Co-Founder) graduated from Institut d’Optique Graduate School in 2012 and received a PhD in Quantum Optics in 2015. During his PhD, Valérian participated in the last technical developments of the single photon sources that are the flagship of Quandela. Prior to the creation of Quandela, Valérian followed entrepreneurship classes at HEC Paris in 2017."
Chris,Howard,N,Dr. ,"CEO & Co-Founder, The Rattle Collective",Speaker,N,Chris_Howard.jpg,N,https://www.linkedin.com/in/ckhoward/,"Chris is a serial founder and leader of technology companies and accelerators, including Libboo, MassChallenge and Techstars. Chris is currently the Co-Founder and CEO of The Rattle, the world's first and largest collective and incubator for artists and startups in music. Chris focuses on helping the freaks and geeks of society—those who don't think the same and strive to turn original ideas or art into world class startups."
Travis,Hunter,Y,Mr. ,"Associate Director, MIT Regional Entrepreneurship Acceleration Program (REAP)",Speaker,N,Travis_Hunter.png,N,https://www.linkedin.com/in/huntertravis/,"Travis Hunter leads the MIT Regional Entrepreneurship Acceleration Program (MIT REAP), an initiative of MIT Sloan Global Programs. Through his role as Associate Director, Travis engages with regional leaders to implement strategies that support their regional innovation-driven entrepreneurial ecosystems.Prior to joining MIT in 2016, Travis was the Director of the Quincy Center for Innovation (QCI) where he expanded the center to support over 50 startups. During his time at the QCI, he oversaw partnerships with private and public organizations, expanded programming, and brought together funding opportunities."
Marie-Liesse ,Le Corfec,N,Mrs.,"Global Portfolio Marketing Head, Pharmaceutical Systems, BD",Speaker,N,Marie-Liesse_Le_Corfec.jpg,Y,https://www.linkedin.com/in/marie-liesse-le-corfec/,
Prof. Séverine,Le Loarne,N,Prof.,"PhD Professor, Grenoble Ecole de Management",Speaker,N,Séverine_LE_LOARNE.jpg,N,https://www.linkedin.com/in/severine-le-loarne-lemaire-8412691/,"Prof. Séverine Le Loarne-Lemaire holds a PhD from Ecole Polytechnique Paris-Lyon 3 University in Strategies of Innovation and decided to diversified her expertise for serving the cause of Women Entrepreneurship. She created the Research Chair, ""Women & Economic Renewal"" (FERE in French), in 2016 that gathers an observatory of Women Entrepreneurship in Practice and an Incubator ""GEM les Premières"" that also serves as labs for developing innovative coaching methods. She has published many articles in peer review research journals and different manuals in Innovation and on Women Entrepreneurship (Pearson ed.). Apart from her job as a professor, Séverine Le Loarne-Lemaire also supports companies to define strategies in terms of gender issues and women intrapreneurship, and serves as an independent board member of quoted companies."
Nektarios ,Liolios,N,Mr.,"Co-Founder, Rainmaking Innovation",Speaker,N,Nektarios_Liolios.jpeg,Y,https://www.linkedin.com/in/nekliolios/,"Nektarios is Co-Founder and former CEO of Startupbootcamp FinTech. Working to address the relationship between corporates and startups, Nektarios worked closely with more than 100 financial industry partners for the Startupbootcamp FinTech and Rainmaking programs. He is also Co-fFounder and Partner of Rainmaking, the global cooperative of entrepreneurs, leading innovation programs across the financial services sector. Prior to Startupbootcamp, he led SWIFT’s Innotribe Startup Challenge, the first global Fintech startup competition, facilitating interaction between startups and financial institutions. He was one of the first to be recognised as a FinTech influencer since 2014 and is considered an expert on the subject of innovation in financial services, advising government bodies and academic institutions. Driven by entrepreneurship, collaboration and the desire to change the industry, Nektarios is a global nomad, travel geek and sneaker freaker. Nektarios is currently taking a break and preparing his next move in the financial services innovation universe."
Hélène ,Michel,N,Mrs.,"PhD, Professor, Grenoble Ecole de Management",Speaker,N,,Y,,
Dip,Patel,Y,Mr.,"CTO, Soluna & Entrepreneur-in-Residence, MIT Martin Trust Center",Speaker,N,Dipul_Patel.jpg,N,https://www.linkedin.com/in/dipul/,"Dip’s first foray into entrepreneurship was when he sold candy in 6th grade at school. It led to a suspension. About a decade later, he graduated from Drexel University in Electrical Engineering and joined Lockheed Martin to focus on radar and Electronic Warfare. While at Lockheed, Dip received his masters in Electrical Engineering from the University of Pennsylvania.

Dip then went to MIT Sloan in 2012. The next year, he co-founded Ecovent and ran it through successful product launch before selling the company in 2016. Since selling Ecovent, Dip has joined MIT as a Lecturer and Entrepreneur in Residence to support other incredible entrepreneurs in their journey. In addition, he is the CTO of Soluna (Soluna.io), a company aiming to revolutionize green energy projects through a new business model with a 900 MW vertically integrated windfarm.

Dip was born in Africa and grew up in Philadelphia. He now lives on a New England beach and is married to an awesome wife (Sandy). Both of them have been adopted by a great dog (Pi). Dip is an avid photographer (he’s been chased by a hippo and bitten by a tiger) and chef (his kitchen looks like a lab).
"
Éric ,Piolle,N,Mr.,"Mayor, Grenoble",Speaker,N,eric.jpg,N,https://www.grenoble.fr/106-eric-piolle-maire-de-grenoble.htm,"Éric Piolle was born on January 6, 1973 in Pau (64). He is married, father of 4 children and has lived in Grenoble since 1993.
A graduate of the INPG, a former manager in an IT group.
Former speaker on industrial projects and academic training.
Co-founder of the Roosevelt 2012 collective alongside Edgar Morin, Cynthia Fleuri, Stéphane Hessel, Gaël Giraud, Pierre Larouturou ... for a social and ecological transformation of the economy.
President of the group of elected environmentalists from the Rhône-Alpes region between 2010 and 2013."
Léa ,Peersman Pujol,N,,"People & Organizational Development, Chanel",Speaker,N,,Y,,
Jill,Becker,,,"CEO, Kebotix",Speaker,N,,Y,,
Austin,Che,,,"Co-Founder, Ginkgo Bioworks",Speaker,N,,Y,,
Kit ,Hickey,Y,Mrs.,"Co-Founder, Ministry of Supply && Entrepreneur-in-Residence, MIT Martin Trust Center",Speaker,N,Kit_Hickey.png,N,https://www.linkedin.com/in/caitlinhickey/,"Kit Hickey is an Entrepreneur-in-Residence at the Martin Trust Center for MIT Entrepreneurship and a Lecturer at the MIT Sloan School of Management.

Kit is co-founder of Ministry of Supply, which is a pioneer in fashion’s performance-professional category. The company uses technology and advanced manufacturing to reinvent what people wear to work. Ministry of Supply has been featured in the New York Times, Fast Company, Wall Street Journal, and on the TODAY Show. While at the company, Kit led and build out numerous high performing teams, including Customer, Revenue, E-Commerce, and Retail. As Chief Retail Officer, Kit spearheaded the company’s expansion into retail, opened 10 stores, managed a team of 50, and conceptualized and developed the company’s revolutionary 3-D print-knit experience. In this innovative store experience, customers could design and create blazers on demand, which are then 3-D printed in the retail store, changing the conversation on traditional retail supply chain, manufacturing, sustainability, and customer experience.

Prior to Ministry of Supply, Kit started a nonprofit which helped entrepreneurs in emerging markets gain access to financing. The nonprofit merged with BiD Network, a Netherlands-based company with a similar mission. Before that, she worked in investment banking, where she advised early-stage companies raising Series A and Series B funding.

Kit teaches two to three entrepreneurship classes per year at MIT. She is the lead instructor for “Building an Entrepreneurial Venture: Advanced Tools and Techniques,” one of the most advanced classes offered for entrepreneurial teams. She also teaches “Dilemmas in Founding New Ventures,” which she designed in order to teach students who will start or join startups about the people issues and organizational challenges that innovative entrepreneurial ventures face."
